IG,Y_all,E_all,pm10,smoke,ethnic,log.price,easting,northing
S02000260,133,106.179067,17.8,21.9,5.58,11.59910316,26.16244585,66.96574055
S02000261,38,62.431309,18.6,21.8,7.91,11.8493977,26.29270878,67.00278111
S02000262,97,120.006936,18.6,20.8,9.58,11.74105656,26.21429344,67.0427997
S02000263,80,109.10245,17,14,10.39,12.30138283,25.45704684,67.05937836
S02000264,181,149.778215,18.6,15.2,5.67,11.88448902,26.12484072,67.09280113
S02000265,77,82.311562,17,14.6,5.61,11.82004245,25.37643768,67.09826128
S02000266,72,86.37307,16.7,11.1,16.07,12.3566455,25.58973596,67.1178006
S02000267,77,94.472224,17.35,12.8,3.68,12.00012416,26.61795551,67.14519018
S02000268,161,166.947577,17.9,14.1,5.36,11.92652407,26.0251085,67.1650548
S02000269,120,122.113786,16.75,10.8,14.29,12.4292162,25.50673329,67.16986458
S02000270,147,152.729993,18.3,17.5,4.09,11.6784399,26.38424355,67.23024012
S02000271,109,114.137407,16.4,13,6.32,12.18841771,25.28557472,67.23963987
S02000272,106,137.042646,16.6,10.5,9.77,12.30591798,25.42967442,67.27335069
S02000273,90,108.040246,16.6,11.2,4.38,12.32287298,25.51133392,67.29212466
S02000274,91,82.588623,17.2,21.8,0.53,11.67419361,26.88043948,67.29525511
S02000275,86,82.946274,17,21.7,2.55,11.14908203,26.60851104,67.29871561
S02000276,68,102.545991,16.15,13.3,8.2,12.04649058,25.35420923,67.3612698
S02000277,122,97.741903,17,34.1,1.06,11.13823202,26.63923213,67.38375406
S02000278,58,68.23173,15.9,17.4,0.78,11.80797285,26.07596692,67.44243233
S02000279,154,156.936847,15.8,14.9,4.2,11.71586631,25.72612854,67.4446047
S02000280,118,105.769582,16.7,34.2,1.57,11.19478419,26.68107233,67.45191889
S02000281,120,112.671194,16.55,21.2,2.02,11.35213445,26.56179775,67.46748891
S02000282,95,111.756024,15.6,14.2,6.53,12.28765263,25.58142668,67.49367442
S02000283,73,72.337901,16.6,35.1,0,10.6666271,27.00974222,67.53894478
S02000284,103,96.730483,15.5,20.9,3.36,11.57824493,25.48562568,67.56912252
S02000285,46,56.05571,14.85,20.5,4.9,12.15477935,25.21318137,67.61366825
S02000286,94,112.878252,15.7,17.7,1.38,11.56171563,26.65714413,67.71233179
S02000287,93,121.805815,14.75,26.8,1.62,11.28978191,26.18955636,67.96204213
S02000310,94,118.397409,14.55,17.7,1.32,11.58570184,25.6396881,64.96106464
S02000311,152,168.231393,15.1,11.9,6.34,12.30365297,25.09195077,65.29023766
S02000312,62,85.098678,16,12.6,8.35,11.82590972,25.61712992,65.57099165
S02000313,97,106.30757,15.7,17.1,13.31,11.8649898,25.30878152,65.5967162
S02000314,132,140.051633,14.5,24.3,0.98,11.19821472,24.55331064,65.60590437
S02000316,64,103.169857,16.4,12.1,15.17,12.64432758,25.49506655,65.65367471
S02000317,117,135.015807,16.8,13.9,4.41,12.02873863,25.69822054,65.70328666
S02000318,125,141.439119,16.1,16.4,15.94,11.905643,25.28379396,65.70507893
S02000319,65,66.538462,16.85,12.6,3.59,12.14419724,25.62940496,65.7563588
S02000320,61,84.271792,16.9,22.6,2.18,11.75587164,25.76155952,65.79161438
S02000321,127,132.01883,15.7,29.4,1.46,11.31447453,24.94586192,65.804569
S02000322,105,91.916877,15.9,32.9,0.59,10.84933709,25.11857434,65.81824164
S02000323,84,103.57254,17.1,13.5,7.21,12.57935886,25.59827134,65.8201555
S02000324,106,95.770073,17,20.1,13.53,11.4019939,25.51794641,65.89952175
S02000325,144,148.924925,17.45,12.2,3.78,12.15739173,25.77874238,65.90483788
