University,Position,R
UU,PhD student,Intermediate
CTH,PhD student,Intermediate
GU,PhD student,Intermediate
UU,Post-doc,Intermediate
LU,Post-doc,Intermediate
KI,PhD student,Intermediate
KI,PhD student,Intermediate
UU,Post-doc,Beginner
SLU,Post-doc,Intermediate
UU,PhD student,Beginner
UmU,Post-doc,Beginner
UmU,PhD student,Advanced
Other,Post-doc,Intermediate
CTH,PhD student,Intermediate
KI,PhD student,Intermediate
LU,Post-doc,Beginner
KTH,Technical staff,Intermediate
SU,PhD student,Intermediate
KTH,Technical staff,Advanced
SU,PhD student,Intermediate
CTH,PhD student,Intermediate
KI,PhD student,Beginner
UU,PhD student,Intermediate
KI,Post-doc,Advanced
UU,PhD student,Intermediate
